t,xbar_true,observation,filtered_mean,filtered_std,crowding_c_t
0.5750000000000001,-0.0007076947929896504,-0.01008532045322831,-0.0016452352563300534,0.012825789836427815,0.008440085196898258
0.58,0.005557821653747601,0.019366973049855248,0.011560229336314027,0.011849081658267275,0.007806743713541221
0.585,0.015099837269866263,-0.004025820417023842,-0.003621787329908365,0.012902093919979629,0.000404033087115477
0.59,0.017619684653342398,-0.005651224814330915,-0.004343701414162005,0.013430392209194338,0.0013075234001689098
0.595,0.0008429198066228256,-0.01066062219444023,-0.008938883145106232,0.013648406153870925,0.0017217390493339969
0.6,0.027337551703323176,0.02654907640850907,0.02265644907750876,0.013719087411706516,0.003892627331000313
0.605,0.02968311003583964,0.00766981203731661,0.012616317175731952,0.011793081887187461,0.004946505138415342
0.61,0.022535542332817522,0.00526655957269748,0.009271987631628228,0.01219143464212799,0.0040054280589307475
0.615,0.050386116454944826,0.037926895747682994,0.03466214163912606,0.013002896034114564,0.003264754108556936
0.62,0.0543863562162403,0.05310142307216155,0.04830544997380968,0.012853674672728964,0.00479597309835187
0.625,0.06013200968490801,0.049352741143925294,0.04849650789690922,0.01085475709437914,0.0008562332470160722
0.63,0.06743786214699497,0.08003968373950764,0.07182763375602272,0.0123196418722198,0.008212049983484918
0.635,0.04486337471113947,0.01326154696416084,0.03465194646491596,0.010866815663975161,0.021390399500755122
0.64,0.043701860725687894,0.048100410917040023,0.04267328192540648,0.01107804035534237,0.0054271289916335425
0.645,0.05335585550304032,0.04404956679161025,0.04115173663002064,0.011498395044358263,0.002897830161589607
0.65,0.03900921963542673,0.044063353159255705,0.04166987126758179,0.01179511925614193,0.002393481891673918
0.655,0.0330087643734537,0.05835749460912916,0.053672585183802024,0.01216031513466589,0.004684909425327136
0.66,0.0017429266058402728,-0.00043995452770203094,0.020015902301412272,0.00952404388766382,0.020455856829114303
0.665,0.010439293646080521,0.011809781262212535,0.014721603897871404,0.010161800017905245,0.002911822635658869
0.67,0.023476424876839333,0.033279200143132195,0.029837544385835923,0.011139497762428795,0.0034416557572962726
0.675,0.010146040978324122,-0.008512763808867837,-0.0035236136408435766,0.012064273989456106,0.004989150168024261
0.68,0.025950329559783304,0.033370192439011986,0.021079279943400475,0.011185868523397228,0.012290912495611511
0.685,0.047863975250711524,0.0572391278003945,0.045429860321535474,0.01084962644001179,0.011809267478859027
0.6900000000000001,0.0297245976421727,0.026775277118849777,0.03312331429466564,0.009985834981070977,0.006348037175815863
0.6950000000000001,0.017673923610148808,0.02487522546382546,0.02980461032751162,0.01118142975152906,0.004929384863686159
0.7000000000000001,0.0332556443812316,0.03372660443650401,0.035746283924518785,0.011455761034271539,0.002019679488014778
0.705,0.029908878767852993,0.019066278306032546,0.023499116135272675,0.011848350889376642,0.00443283782924013
0.71,0.014160857186469963,-0.0035787374316066413,0.00416705235806078,0.010454349892990732,0.007745789789667421
0.715,0.05523077898335299,0.06640010359576355,0.042997869542434355,0.009155728062228736,0.023402234053329196
0.72,0.07806481457521058,0.09915801976221095,0.07956992857988587,0.011958337873323567,0.019588091182325074
0.725,0.0542660133161535,0.04337702711070797,0.05528840655081277,0.01043575971075832,0.0119113794401048
0.73,0.06664224127465786,0.070080903346257,0.06525417621195456,0.01043534997126805,0.004826727134302433
0.735,0.0652451256470771,0.04922624693546729,0.050019154960097595,0.010365370413775943,0.0007929080246303066
0.74,0.060627576600474076,0.05379134218630767,0.05356137307356952,0.011292733581259559,0.00022996911273814868
0.745,0.06148858744774351,0.054387233368862156,0.054131394389766455,0.011527252394705574,0.00025583897909570164
0.75,0.05513079187772711,0.040276445561409115,0.044067426849714646,0.01022457115704141,0.003790981288305531
0.755,0.032546127204630154,0.030606669029576924,0.03505474436422921,0.010459062643607743,0.004448075334652284
0.76,0.0233646157139736,0.0342347430557179,0.034561265389938554,0.009794137301422912,0.00032652233422065385
0.765,0.02815277632060947,0.0338312102832491,0.0342991136891429,0.010509272953519474,0.00046790340589380336
0.77,0.016089700882321083,0.008951241917649202,0.013383311813277872,0.011008509172726375,0.0044320698956286705
0.775,0.020050114318918663,0.035902976341063986,0.029037334907777122,0.00987202136836313,0.0068656414332868634
0.78,0.0006195129444484802,0.002235949228169376,0.010436620780931253,0.010040544271117356,0.008200671552761878
0.785,0.002974699544955907,0.023166997098778456,0.018870624113266888,0.009731401325869984,0.004296372985511568
0.79,0.01894104632401369,0.0027584957575302674,0.004868035001605467,0.010428245813556643,0.0021095392440752
0.795,-0.01702026617051002,0.01716679257639463,0.016401546592162426,0.010685232134472521,0.0007652459842322039
0.8,0.0077921966009835645,0.004855067432552937,0.006002614812471357,0.010713394820520129,0.0011475473799184201
0.805,-0.017041377613172703,-0.03156259235739913,-0.01940483153911387,0.009254306634107378,0.012157760818285263
0.81,-0.030325594508755358,-0.043450244133805695,-0.035714030707746695,0.009540018081900095,0.007736213426058999
0.8150000000000001,-0.023189587857218582,-0.013373979747508615,-0.01975723700920308,0.009293019327588017,0.0063832572616944645
0.8200000000000001,-0.006675290886241214,0.002792936987318163,-0.004771575819712697,0.009457028904815378,0.00756451280703086
0.8250000000000001,-0.01975275480135687,-0.011367035687832863,-0.00953075482599341,0.009789669947744281,0.0018362808618394531
0.8300000000000001,-0.027436241324589276,-0.02138163070028981,-0.017867776546291906,0.010464190113524686,0.003513854153997905
0.835,-0.027574477994033956,-0.04110520164827735,-0.03399929995037076,0.009548648201556043,0.007105901697906591
0.84,-0.03629930659240063,-0.038728967035616645,-0.036756026667956715,0.009331197048188019,0.0019729403676599297
0.845,-0.039719923232959656,-0.06640760980443529,-0.059857237745414286,0.010117154664680843,0.006550372059021002
0.85,-0.05412750599354277,-0.06467331754404843,-0.06324509048582558,0.009276864052793782,0.0014282270582228473
0.855,-0.0664223973007288,-0.059752629930185645,-0.059586661322437645,0.010027466608053181,0.0001659686077480002
0.86,-0.07868425351222001,-0.10025596052400007,-0.09444367438219953,0.010102155860556355,0.005812286141800543
0.865,-0.07440338699132601,-0.048919661010660004,-0.061857461695478566,0.009859624087978313,0.012937800684818562
0.87,-0.058988906644250515,-0.04576695994452924,-0.04999476281286786,0.008939971635538984,0.004227802868338619
0.875,-0.044875176390388745,-0.0581401313015511,-0.05864218768271766,0.00988256624510988,0.0005020563811665574
0.88,-0.047434455790726894,-0.040184404621404705,-0.042720378106984924,0.010144576254701422,0.002535973485580219
0.885,-0.07974355707622828,-0.07434142116717338,-0.06473979012957215,0.008826267820287375,0.009601631037601227
0.89,-0.08292204582649876,-0.08507447611855211,-0.07925467493921863,0.009327872655279273,0.005819801179333478
0.895,-0.0727694704485551,-0.06701096987747826,-0.07041452115347577,0.009210449111251968,0.0034035512759975073
0.9,-0.07008808441031598,-0.07359233002638324,-0.07485872749278706,0.009870021344107955,0.0012663974664038208
0.905,-0.07094202822263916,-0.07175444726706792,-0.07293743559553387,0.010094603220558577,0.0011829883284659448
0.91,-0.05410469006972484,-0.04878456407670114,-0.055534633752987964,0.009586506918401882,0.006750069676286823
0.915,-0.04284756919310784,-0.03824348422796964,-0.042970372221801,0.009047647527543716,0.0047268879938313635
0.92,-0.025716122417011857,-0.022600846545329453,-0.028519843484176292,0.009564033964381472,0.00591899693884684
0.925,-0.034156044008528466,-0.03082370365072834,-0.03026647408365475,0.008990881210837218,0.0005572295670735888
0.93,-0.03752287467723595,-0.027549765832189245,-0.027456510432319142,0.009553213925479193,9.325539987010273e-05
0.935,-0.027452393689559113,-0.01935888212767571,-0.02016554443145071,0.010382213393708498,0.0008066623037749979
0.9400000000000001,-0.040628507057580594,-0.05339033064135371,-0.04524876046675416,0.009280865002686873,0.00814157017459955
0.9450000000000001,-0.04793347332949341,-0.05610489872912317,-0.05301612009340835,0.008903265267915239,0.0030887786357148214
0.9500000000000001,-0.038344713072655634,-0.023098881475271376,-0.027489942887695146,0.00943356451834126,0.00439106141242377
0.9550000000000001,-0.01933659208288925,-0.0030430419104292353,-0.010277570651355036,0.008820340738554443,0.0072345287409258
0.96,-0.011405489145554304,-0.0056674649284892305,-0.007181441326150425,0.008780594509029084,0.0015139763976611941
0.965,-0.016453041713293263,-0.019403155068875487,-0.01777471083962451,0.009256497403803963,0.0016284442292509756
0.97,-0.010852113760593937,-0.002347016726159123,-0.0032109360610878017,0.010140564107812396,0.0008639193349286789
0.975,-0.02791035651036878,-0.02085627275186783,-0.01627120494649831,0.008878643205496847,0.004585067805369519
0.98,-0.018689484654201668,-0.034794823135417076,-0.029348973578407187,0.008562262068044184,0.005445849557009889
0.985,-0.01835561163554255,-0.017670798673957162,-0.02076493426981998,0.008733069882182119,0.0030941355958628187
0.99,0.0023596330104773745,-0.01214479826559075,-0.015504026323065363,0.0093382520132908,0.0033592280574746124
0.995,0.009233737394472542,0.00447860848969125,-0.0007794456070012393,0.008933492561323192,0.005258054096692489
1.0,0.00230825615135321,0.002633639823730444,0.0012224669724799756,0.008842782647158643,0.0014111728512504682
